pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
-0.044896, -0.016090, -0.007034,-0.044896, -0.016090, -0.007034,-0.042461, 0.194702, -0.023842,-0.040025, 0.405493, -0.040650,-0.064650, 0.558265, -0.003268,-0.065014, 0.547450, 0.007777,-0.040025, 0.405493, -0.040650,0.097971, 0.410378, -0.016713,0.137101, 0.195110, 0.019009,0.132552, -0.004759, 0.057792,-0.040025, 0.405493, -0.040650,-0.178024, 0.400739, -0.064598,-0.212657, 0.185056, -0.069879,-0.230624, 0.000335, -0.026030,-0.044896, -0.016090, -0.007034,0.046542, -0.014740, 0.005494,-0.044896, -0.016090, -0.007034,-0.136334, -0.017440, -0.019562,0.046552, -0.016090, 0.005495,0.051004, -0.370502, -0.028087,0.097111, -0.672279, -0.044279,0.098442, -0.723367, 0.081201,-0.136344, -0.016090, -0.019563,-0.108792, -0.371678, -0.051822,-0.102921, -0.687085, -0.043980,-0.109432, -0.725694, 0.083048
-0.046050, -0.013626, -0.005995,-0.046050, -0.013626, -0.005995,-0.042879, 0.197113, -0.023333,-0.039708, 0.407851, -0.040672,-0.064761, 0.560507, -0.003098,-0.065526, 0.549892, 0.008120,-0.039708, 0.407851, -0.040672,0.098287, 0.412310, -0.016647,0.138330, 0.195677, 0.008137,0.130091, -0.001378, 0.058869,-0.039708, 0.407851, -0.040672,-0.177706, 0.403524, -0.064708,-0.211080, 0.187636, -0.069715,-0.230887, 0.002957, -0.026485,-0.046050, -0.013626, -0.005995,0.045513, -0.012481, 0.005602,-0.046050, -0.013626, -0.005995,-0.137613, -0.014771, -0.017592,0.045520, -0.013626, 0.005603,0.050714, -0.368043, -0.027818,0.096996, -0.669867, -0.042575,0.099100, -0.719623, 0.083428,-0.137620, -0.013626, -0.017593,-0.109211, -0.369011, -0.051317,-0.103979, -0.684405, -0.042554,-0.108209, -0.723942, 0.084285
-0.047072, -0.012695, -0.005794,-0.047072, -0.012695, -0.005794,-0.043616, 0.198032, -0.023219,-0.040161, 0.408759, -0.040645,-0.065122, 0.561348, -0.002740,-0.066312, 0.550876, 0.008575,-0.040161, 0.408759, -0.040645,0.097888, 0.412831, -0.016859,0.139003, 0.195526, -0.001499,0.127522, 0.001429, 0.059054,-0.040161, 0.408759, -0.040645,-0.178211, 0.404819, -0.064442,-0.210173, 0.188802, -0.072300,-0.231536, 0.004791, -0.027011,-0.047072, -0.012695, -0.005794,0.044569, -0.011723, 0.005193,-0.047072, -0.012695, -0.005794,-0.138713, -0.013667, -0.016781,0.044574, -0.012695, 0.005194,0.050348, -0.367152, -0.027701,0.096916, -0.668985, -0.041323,0.099642, -0.717656, 0.085091,-0.138718, -0.012695, -0.016782,-0.109635, -0.367977, -0.051012,-0.104742, -0.683360, -0.041657,-0.107257, -0.723301, 0.085100
-0.048061, -0.012976, -0.006395,-0.048061, -0.012976, -0.006395,-0.044721, 0.197772, -0.023591,-0.041380, 0.408520, -0.040787,-0.065769, 0.561023, -0.002174,-0.067403, 0.550615, 0.009144,-0.041380, 0.408520, -0.040787,0.096663, 0.412232, -0.016908,0.137867, 0.194739, -0.004792,0.124795, 0.002137, 0.060062,-0.041380, 0.408520, -0.040787,-0.179424, 0.404939, -0.064677,-0.210614, 0.189051, -0.077564,-0.233293, 0.006359, -0.027796,-0.048061, -0.012976, -0.006395,0.043568, -0.012117, 0.004701,-0.048061, -0.012976, -0.006395,-0.139690, -0.013835, -0.017491,0.043572, -0.012976, 0.004702,0.049803, -0.367496, -0.027422,0.096781, -0.669298, -0.040297,0.100004, -0.717477, 0.086294,-0.139694, -0.012976, -0.017492,-0.110086, -0.368274, -0.051099,-0.105178, -0.683640, -0.041206,-0.106890, -0.723288, 0.085657
-0.049357, -0.013155, -0.007028,-0.049357, -0.013155, -0.007028,-0.046129, 0.197604, -0.024117,-0.042901, 0.408361, -0.041206,-0.066628, 0.560717, -0.001609,-0.068698, 0.550324, 0.009650,-0.042901, 0.408361, -0.041206,0.094988, 0.411713, -0.016403,0.135874, 0.194305, -0.001932,0.122191, 0.001532, 0.062285,-0.042901, 0.408361, -0.041206,-0.180791, 0.405141, -0.066020,-0.212961, 0.189597, -0.081904,-0.236549, 0.008318, -0.027598,-0.049357, -0.013155, -0.007028,0.042180, -0.012368, 0.004808,-0.049357, -0.013155, -0.007028,-0.140894, -0.013942, -0.018864,0.042183, -0.013155, 0.004808,0.048956, -0.367722, -0.026681,0.096426, -0.669465, -0.039134,0.100110, -0.717877, 0.087355,-0.140897, -0.013155, -0.018864,-0.110539, -0.368477, -0.051534,-0.105374, -0.683811, -0.040780,-0.107085, -0.722725, 0.086310
-0.051242, -0.012813, -0.007068,-0.051242, -0.012813, -0.007068,-0.047907, 0.197936, -0.024250,-0.044572, 0.408685, -0.041433,-0.067769, 0.560965, -0.001234,-0.070257, 0.550595, 0.009963,-0.044572, 0.408685, -0.041433,0.093209, 0.411714, -0.015997,0.137395, 0.194843, -0.003253,0.119916, 0.003382, 0.063899,-0.044572, 0.408685, -0.041433,-0.182354, 0.405788, -0.066880,-0.217671, 0.190583, -0.080530,-0.240351, 0.010024, -0.023509,-0.051242, -0.012813, -0.007068,0.040239, -0.012070, 0.005193,-0.051242, -0.012813, -0.007068,-0.142723, -0.013556, -0.019329,0.040242, -0.012813, 0.005194,0.047792, -0.367403, -0.025860,0.095865, -0.669058, -0.038117,0.099916, -0.718059, 0.088135,-0.142726, -0.012813, -0.019330,-0.110949, -0.368014, -0.051967,-0.105368, -0.683307, -0.040258,-0.107471, -0.721510, 0.087042
-0.053530, -0.012542, -0.006642,-0.053530, -0.012542, -0.006642,-0.050030, 0.198210, -0.023758,-0.046530, 0.408961, -0.040875,-0.069381, 0.561348, -0.000885,-0.072277, 0.551043, 0.010274,-0.046530, 0.408961, -0.040875,0.091478, 0.411799, -0.016677,0.144921, 0.196645, -0.016184,0.117978, 0.011265, 0.063695,-0.046530, 0.408961, -0.040875,-0.184539, 0.406255, -0.065084,-0.224932, 0.191611, -0.071640,-0.243096, 0.010641, -0.014304,-0.053530, -0.012542, -0.006642,0.038053, -0.011719, 0.004827,-0.053530, -0.012542, -0.006642,-0.145113, -0.013365, -0.018111,0.038057, -0.012542, 0.004827,0.046426, -0.367158, -0.025709,0.095300, -0.668694, -0.037752,0.099492, -0.718044, 0.088358,-0.145117, -0.012542, -0.018111,-0.111325, -0.367430, -0.052102,-0.105194, -0.682692, -0.039853,-0.107618, -0.720574, 0.087536
-0.055578, -0.012775, -0.006384,-0.055578, -0.012775, -0.006384,-0.052121, 0.198015, -0.023029,-0.048663, 0.408805, -0.039674,-0.071522, 0.561308, -0.000133,-0.074816, 0.551079, 0.010986,-0.048663, 0.408805, -0.039674,0.089804, 0.411622, -0.018258,0.154377, 0.200036, -0.032736,0.116222, 0.024462, 0.063129,-0.048663, 0.408805, -0.039674,-0.187132, 0.406120, -0.061100,-0.234056, 0.192718, -0.059095,-0.244323, 0.010833, -0.002701,-0.055578, -0.012775, -0.006384,0.036200, -0.011625, 0.003367,-0.055578, -0.012775, -0.006384,-0.147356, -0.013925, -0.016135,0.036207, -0.012775, 0.003368,0.044942, -0.367445, -0.026429,0.094790, -0.668842, -0.037936,0.098924, -0.718076, 0.088221,-0.147363, -0.012775, -0.016136,-0.111608, -0.367280, -0.052053,-0.104866, -0.682526, -0.039710,-0.107264, -0.720460, 0.087665
-0.056877, -0.013369, -0.006709,-0.056877, -0.013369, -0.006709,-0.053736, 0.197481, -0.022650,-0.050595, 0.408330, -0.038591,-0.074006, 0.560688, 0.001185,-0.077669, 0.550503, 0.012227,-0.050595, 0.408330, -0.038591,0.088214, 0.411254, -0.019526,0.160553, 0.202680, -0.039807,0.114300, 0.034783, 0.065757,-0.050595, 0.408330, -0.038591,-0.189405, 0.405537, -0.057665,-0.243254, 0.193927, -0.049440,-0.244735, 0.011900, 0.007406,-0.056877, -0.013369, -0.006709,0.035040, -0.011699, 0.001547,-0.056877, -0.013369, -0.006709,-0.148794, -0.015039, -0.014965,0.035055, -0.013369, 0.001549,0.043393, -0.368113, -0.027479,0.094200, -0.669381, -0.038114,0.098258, -0.718297, 0.088170,-0.148809, -0.013369, -0.014967,-0.111610, -0.367597, -0.052135,-0.104372, -0.682829, -0.039713,-0.106429, -0.720885, 0.087631
-0.057592, -0.014087, -0.007467,-0.057592, -0.014087, -0.007467,-0.054893, 0.196822, -0.022696,-0.052194, 0.407729, -0.037926,-0.076585, 0.559717, 0.002669,-0.080555, 0.549530, 0.013603,-0.052194, 0.407729, -0.037926,0.086740, 0.410912, -0.019842,0.163037, 0.203442, -0.036661,0.111533, 0.038477, 0.071071,-0.052194, 0.407729, -0.037926,-0.191130, 0.404679, -0.056020,-0.250497, 0.194651, -0.045524,-0.244511, 0.014004, 0.015291,-0.057592, -0.014087, -0.007467,0.034374, -0.011901, 0.000090,-0.057592, -0.014087, -0.007467,-0.149558, -0.016273, -0.015024,0.034400, -0.014087, 0.000092,0.041868, -0.368896, -0.028373,0.093455, -0.670063, -0.038079,0.097527, -0.718740, 0.088296,-0.149584, -0.014087, -0.015026,-0.111244, -0.368168, -0.052436,-0.103769, -0.683381, -0.039690,-0.105359, -0.721457, 0.087655
-0.058277, -0.014863, -0.008302,-0.058277, -0.014863, -0.008302,-0.055977, 0.196108, -0.022710,-0.053678, 0.407078, -0.037118,-0.079131, 0.558807, 0.003793,-0.083296, 0.548593, 0.014629,-0.053678, 0.407078, -0.037118,0.085338, 0.410797, -0.019782,0.164263, 0.204069, -0.033278,0.106789, 0.041212, 0.074642,-0.053678, 0.407078, -0.037118,-0.192696, 0.403491, -0.054464,-0.254821, 0.194221, -0.044807,-0.243306, 0.016425, 0.023189,-0.058277, -0.014863, -0.008302,0.033711, -0.012256, -0.001159,-0.058277, -0.014863, -0.008302,-0.150265, -0.017470, -0.015445,0.033748, -0.014863, -0.001156,0.040523, -0.369712, -0.029293,0.092733, -0.670800, -0.038075,0.096830, -0.719202, 0.088405,-0.150302, -0.014863, -0.015448,-0.110686, -0.368810, -0.052791,-0.103181, -0.684006, -0.039637,-0.104289, -0.722078, 0.087715
-0.059200, -0.015616, -0.009221,-0.059200, -0.015616, -0.009221,-0.057206, 0.195435, -0.022452,-0.055212, 0.406486, -0.035682,-0.081632, 0.558239, 0.004516,-0.085846, 0.547991, 0.015301,-0.055212, 0.406486, -0.035682,0.083991, 0.411057, -0.020140,0.165444, 0.205466, -0.035804,0.099630, 0.048158, 0.075529,-0.055212, 0.406486, -0.035682,-0.194418, 0.402046, -0.051233,-0.256718, 0.192732, -0.043962,-0.241312, 0.018701, 0.032480,-0.059200, -0.015616, -0.009221,0.032840, -0.012659, -0.002931,-0.059200, -0.015616, -0.009221,-0.151240, -0.018573, -0.015511,0.032887, -0.015616, -0.002928,0.039566, -0.370491, -0.030755,0.092374, -0.671510, -0.038247,0.096395, -0.719280, 0.088476,-0.151287, -0.015616, -0.015514,-0.110311, -0.369384, -0.053083,-0.102770, -0.684568, -0.039654,-0.103355, -0.722725, 0.087675
-0.060245, -0.016191, -0.010615,-0.060245, -0.016191, -0.010615,-0.058485, 0.194953, -0.022302,-0.056724, 0.406097, -0.033989,-0.084035, 0.557946, 0.005241,-0.088189, 0.547653, 0.016007,-0.056724, 0.406097, -0.033989,0.082702, 0.411612, -0.020968,0.165492, 0.206886, -0.040476,0.090921, 0.058253, 0.077082,-0.056724, 0.406097, -0.033989,-0.196155, 0.400713, -0.047018,-0.257105, 0.190928, -0.042363,-0.238672, 0.021188, 0.042586,-0.060245, -0.016191, -0.010615,0.031876, -0.013047, -0.005765,-0.060245, -0.016191, -0.010615,-0.152366, -0.019335, -0.015465,0.031929, -0.016191, -0.005762,0.039116, -0.371108, -0.032918,0.092590, -0.672053, -0.038430,0.096466, -0.718880, 0.088649,-0.152419, -0.016191, -0.015468,-0.110461, -0.369813, -0.053330,-0.102672, -0.684980, -0.039665,-0.102682, -0.723321, 0.087610
