pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
0.016701, -0.029479, 0.027393,0.016701, -0.029479, 0.027393,0.023521, 0.267504, -0.010088,0.030342, 0.564487, -0.047568,0.043386, 0.778941, -0.009044,0.045580, 0.761906, 0.023753,0.030342, 0.564487, -0.047568,0.208331, 0.553500, -0.045175,0.262899, 0.268052, -0.039374,0.231786, 0.027035, 0.070381,0.030342, 0.564487, -0.047568,-0.147637, 0.575646, -0.049983,-0.224374, 0.292403, -0.050048,-0.219761, 0.060195, 0.028239,0.016701, -0.029479, 0.027393,0.134232, -0.030974, 0.034906,0.016701, -0.029479, 0.027393,-0.100830, -0.027984, 0.019880,0.134241, -0.029479, 0.034906,0.164736, -0.454319, -0.031580,0.186812, -0.813781, -0.067335,0.228063, -0.881329, 0.121956,-0.100839, -0.029479, 0.019880,-0.118892, -0.451699, -0.034315,-0.135056, -0.830407, -0.088292,-0.191339, -0.895564, 0.119904
0.017690, -0.027957, 0.028484,0.017690, -0.027957, 0.028484,0.023688, 0.268861, -0.010415,0.029687, 0.565680, -0.049314,0.043763, 0.779908, -0.009912,0.046443, 0.762805, 0.022813,0.029687, 0.565680, -0.049314,0.207773, 0.556210, -0.047802,0.265021, 0.271354, -0.039350,0.232720, 0.029703, 0.068654,0.029687, 0.565680, -0.049314,-0.148390, 0.575321, -0.050850,-0.224958, 0.292032, -0.051312,-0.221006, 0.059902, 0.027240,0.017690, -0.027957, 0.028484,0.135218, -0.029069, 0.036100,0.017690, -0.027957, 0.028484,-0.099838, -0.026845, 0.020868,0.135223, -0.027957, 0.036100,0.166373, -0.452611, -0.031266,0.188016, -0.812197, -0.066028,0.228754, -0.882166, 0.122493,-0.099843, -0.027957, 0.020868,-0.118432, -0.450045, -0.034171,-0.136181, -0.828246, -0.091122,-0.189809, -0.892214, 0.118140
0.018457, -0.026948, 0.029131,0.018457, -0.026948, 0.029131,0.023818, 0.269756, -0.010722,0.029178, 0.566460, -0.050576,0.044062, 0.780503, -0.010467,0.047236, 0.763303, 0.022163,0.029178, 0.566460, -0.050576,0.207326, 0.558147, -0.049671,0.266652, 0.273768, -0.039602,0.233944, 0.031744, 0.067438,0.029178, 0.566460, -0.050576,-0.148962, 0.574944, -0.051504,-0.225571, 0.291668, -0.052528,-0.221788, 0.059724, 0.026581,0.018457, -0.026948, 0.029131,0.135993, -0.027784, 0.036665,0.018457, -0.026948, 0.029131,-0.099079, -0.026112, 0.021597,0.135996, -0.026948, 0.036665,0.167590, -0.451481, -0.031252,0.188953, -0.811183, -0.064967,0.229601, -0.883310, 0.122758,-0.099082, -0.026948, 0.021597,-0.118031, -0.448931, -0.034117,-0.136817, -0.826799, -0.092920,-0.188814, -0.890162, 0.116936
0.019244, -0.026525, 0.029072,0.019244, -0.026525, 0.029072,0.024046, 0.270143, -0.011116,0.028848, 0.566812, -0.051303,0.044329, 0.780702, -0.010611,0.047961, 0.763366, 0.021899,0.028848, 0.566812, -0.051303,0.207031, 0.559253, -0.050729,0.267946, 0.275228, -0.040195,0.236016, 0.032885, 0.066359,0.028848, 0.566812, -0.051303,-0.149327, 0.574542, -0.051900,-0.226218, 0.291345, -0.053535,-0.221977, 0.059648, 0.026270,0.019244, -0.026525, 0.029072,0.136804, -0.027176, 0.036232,0.019244, -0.026525, 0.029072,-0.098316, -0.025874, 0.021912,0.136806, -0.026525, 0.036232,0.168273, -0.451083, -0.031590,0.189426, -0.810892, -0.064281,0.230326, -0.884652, 0.122754,-0.098318, -0.026525, 0.021912,-0.117637, -0.448446, -0.034149,-0.136814, -0.826180, -0.093676,-0.188256, -0.889537, 0.116319
0.020401, -0.026439, 0.028326,0.020401, -0.026439, 0.028326,0.024533, 0.270257, -0.011730,0.028665, 0.566954, -0.051785,0.044647, 0.780681, -0.010435,0.048646, 0.763185, 0.021946,0.028665, 0.566954, -0.051785,0.206870, 0.559927, -0.051424,0.269421, 0.276254, -0.040975,0.239234, 0.033375, 0.064864,0.028665, 0.566954, -0.051785,-0.149533, 0.574152, -0.052169,-0.226850, 0.291075, -0.054320,-0.221747, 0.059593, 0.026058,0.020401, -0.026439, 0.028326,0.137996, -0.026926, 0.034901,0.020401, -0.026439, 0.028326,-0.097194, -0.025952, 0.021751,0.137997, -0.026439, 0.034901,0.168619, -0.451178, -0.032169,0.189466, -0.811088, -0.063928,0.230584, -0.885814, 0.122675,-0.097195, -0.026439, 0.021751,-0.117175, -0.448343, -0.034205,-0.136393, -0.826026, -0.094041,-0.187737, -0.889573, 0.115921
0.021821, -0.026465, 0.027129,0.021821, -0.026465, 0.027129,0.025209, 0.270289, -0.012564,0.028598, 0.567044, -0.052256,0.044984, 0.780585, -0.010108,0.049261, 0.762939, 0.022157,0.028598, 0.567044, -0.052256,0.206819, 0.560426, -0.052055,0.271227, 0.277163, -0.041774,0.242918, 0.033628, 0.063071,0.028598, 0.567044, -0.052256,-0.149617, 0.573834, -0.052481,-0.227400, 0.290888, -0.055116,-0.221343, 0.059595, 0.025737,0.021821, -0.026465, 0.027129,0.139449, -0.026799, 0.033111,0.021821, -0.026465, 0.027129,-0.095807, -0.026131, 0.021147,0.139449, -0.026465, 0.033111,0.168887, -0.451443, -0.032968,0.189353, -0.811462, -0.063730,0.230475, -0.886591, 0.122710,-0.095807, -0.026465, 0.021147,-0.116685, -0.448405, -0.034206,-0.135945, -0.826019, -0.094463,-0.187180, -0.889646, 0.115501
0.023070, -0.026496, 0.025779,0.023070, -0.026496, 0.025779,0.025833, 0.270325, -0.013464,0.028596, 0.567146, -0.052707,0.045260, 0.780496, -0.009712,0.049783, 0.762732, 0.022453,0.028596, 0.567146, -0.052707,0.206826, 0.560781, -0.052581,0.272955, 0.277909, -0.042461,0.245916, 0.033915, 0.061649,0.028596, 0.567146, -0.052707,-0.149628, 0.573682, -0.052855,-0.227810, 0.290851, -0.055960,-0.220879, 0.059742, 0.025347,0.023070, -0.026496, 0.025779,0.140724, -0.026709, 0.031227,0.023070, -0.026496, 0.025779,-0.094584, -0.026282, 0.020331,0.140724, -0.026496, 0.031227,0.169193, -0.451660, -0.034078,0.189336, -0.811807, -0.063518,0.230370, -0.887051, 0.122895,-0.094584, -0.026496, 0.020331,-0.116279, -0.448523, -0.034032,-0.135702, -0.826031, -0.094902,-0.186808, -0.889652, 0.115095
0.023925, -0.026467, 0.024482,0.023925, -0.026467, 0.024482,0.026257, 0.270422, -0.014271,0.028589, 0.567311, -0.053023,0.045516, 0.780469, -0.009186,0.050274, 0.762605, 0.022890,0.028589, 0.567311, -0.053023,0.206821, 0.561012, -0.052910,0.274071, 0.278399, -0.042942,0.247626, 0.034239, 0.060930,0.028589, 0.567311, -0.053023,-0.149638, 0.573781, -0.053159,-0.228049, 0.291017, -0.056517,-0.220357, 0.060027, 0.025063,0.023925, -0.026467, 0.024482,0.141605, -0.026590, 0.029331,0.023925, -0.026467, 0.024482,-0.093755, -0.026344, 0.019633,0.141605, -0.026467, 0.029331,0.169506, -0.451730, -0.035572,0.189415, -0.812026, -0.063307,0.230422, -0.887334, 0.123086,-0.093755, -0.026467, 0.019633,-0.115980, -0.448612, -0.033588,-0.135573, -0.825994, -0.095184,-0.186668, -0.889724, 0.114783
0.024487, -0.026383, 0.023249,0.024487, -0.026383, 0.023249,0.026508, 0.270580, -0.014950,0.028530, 0.567543, -0.053150,0.045833, 0.780481, -0.008401,0.050788, 0.762516, 0.023589,0.028530, 0.567543, -0.053150,0.206759, 0.561155, -0.053048,0.274373, 0.278621, -0.043296,0.248214, 0.034375, 0.060447,0.028530, 0.567543, -0.053150,-0.149694, 0.574102, -0.053273,-0.228207, 0.291366, -0.056549,-0.219888, 0.060359, 0.024921,0.024487, -0.026383, 0.023249,0.142197, -0.026442, 0.027313,0.024487, -0.026383, 0.023249,-0.093223, -0.026324, 0.019185,0.142197, -0.026383, 0.027313,0.169748, -0.451709, -0.037323,0.189475, -0.812150, -0.063247,0.230526, -0.887616, 0.123073,-0.093223, -0.026383, 0.019185,-0.115759, -0.448652, -0.032908,-0.135359, -0.825905, -0.095283,-0.186566, -0.889987, 0.114550
0.024860, -0.026357, 0.021845,0.024860, -0.026357, 0.021845,0.026629, 0.270701, -0.015623,0.028397, 0.567759, -0.053091,0.046127, 0.780447, -0.007332,0.051226, 0.762369, 0.024572,0.028397, 0.567759, -0.053091,0.206620, 0.561178, -0.053022,0.274120, 0.278598, -0.043829,0.248194, 0.034081, 0.059334,0.028397, 0.567759, -0.053091,-0.149819, 0.574511, -0.053181,-0.228507, 0.291821, -0.056337,-0.219780, 0.060683, 0.024717,0.024860, -0.026357, 0.021845,0.142599, -0.026404, 0.024948,0.024860, -0.026357, 0.021845,-0.092879, -0.026310, 0.018742,0.142599, -0.026357, 0.024948,0.169865, -0.451809, -0.038974,0.189546, -0.812358, -0.063399,0.230608, -0.888196, 0.122767,-0.092879, -0.026357, 0.018742,-0.115645, -0.448761, -0.032143,-0.135044, -0.825897, -0.095289,-0.186422, -0.890500, 0.114342
