pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
-0.050161, -0.014023, 0.003058,-0.050161, -0.014023, 0.003058,-0.054042, 0.205931, 0.001573,-0.057924, 0.425885, 0.000088,-0.067403, 0.569857, 0.029658,-0.067247, 0.560271, 0.053560,-0.057924, 0.425885, 0.000088,0.082654, 0.433682, 0.003123,0.143602, 0.246308, -0.089028,0.090719, 0.109875, -0.016114,-0.057924, 0.425885, 0.000088,-0.198508, 0.418214, -0.002947,-0.255043, 0.230068, -0.110989,-0.241584, 0.068850, -0.128816,-0.050161, -0.014023, 0.003058,0.041367, -0.007770, 0.008202,-0.050161, -0.014023, 0.003058,-0.141689, -0.020276, -0.002086,0.041579, -0.014023, 0.008214,0.042104, -0.320428, -0.018795,0.082870, -0.599090, -0.049587,0.077729, -0.643549, 0.109960,-0.141901, -0.014023, -0.002098,-0.097198, -0.319547, -0.015809,-0.070929, -0.601543, -0.052662,-0.086156, -0.661148, 0.099318
-0.049883, -0.013381, 0.003448,-0.049883, -0.013381, 0.003448,-0.054000, 0.206565, 0.001481,-0.058116, 0.426511, -0.000486,-0.066999, 0.570555, 0.028916,-0.066832, 0.560912, 0.052794,-0.058116, 0.426511, -0.000486,0.082477, 0.434214, 0.001973,0.139505, 0.248284, -0.095462,0.082945, 0.110920, -0.027203,-0.058116, 0.426511, -0.000486,-0.198717, 0.418933, -0.002946,-0.248454, 0.232189, -0.116616,-0.228279, 0.071197, -0.129446,-0.049883, -0.013381, 0.003448,0.041708, -0.007947, 0.008385,-0.049883, -0.013381, 0.003448,-0.141474, -0.018815, -0.001489,0.041869, -0.013381, 0.008393,0.041942, -0.319851, -0.017870,0.082248, -0.598402, -0.050234,0.076681, -0.643842, 0.109022,-0.141635, -0.013381, -0.001497,-0.097831, -0.319030, -0.015339,-0.071380, -0.600869, -0.053245,-0.084029, -0.657124, 0.100241
-0.049903, -0.012703, 0.003638,-0.049903, -0.012703, 0.003638,-0.054079, 0.207238, 0.001291,-0.058255, 0.427179, -0.001056,-0.066770, 0.571224, 0.028449,-0.066616, 0.561549, 0.052314,-0.058255, 0.427179, -0.001056,0.082355, 0.434702, 0.001004,0.138211, 0.249008, -0.097552,0.075402, 0.111700, -0.034874,-0.058255, 0.427179, -0.001056,-0.198871, 0.419782, -0.003117,-0.243098, 0.235017, -0.122172,-0.209881, 0.075686, -0.121674,-0.049903, -0.012703, 0.003638,0.041735, -0.007951, 0.008401,-0.049903, -0.012703, 0.003638,-0.141541, -0.017455, -0.001126,0.041858, -0.012703, 0.008408,0.041752, -0.319252, -0.016919,0.081577, -0.597706, -0.050683,0.075761, -0.643940, 0.108335,-0.141664, -0.012703, -0.001132,-0.098292, -0.318421, -0.014794,-0.071604, -0.600110, -0.053637,-0.082592, -0.654111, 0.100783
-0.050119, -0.012136, 0.003801,-0.050119, -0.012136, 0.003801,-0.054256, 0.207802, 0.001073,-0.058394, 0.427739, -0.001654,-0.066787, 0.571703, 0.028278,-0.066695, 0.562020, 0.052140,-0.058394, 0.427739, -0.001654,0.082228, 0.435048, 0.000344,0.140015, 0.247699, -0.093873,0.068123, 0.112227, -0.037252,-0.058394, 0.427739, -0.001654,-0.199022, 0.420555, -0.003654,-0.238979, 0.237396, -0.126635,-0.185626, 0.085533, -0.102526,-0.050119, -0.012136, 0.003801,0.041545, -0.007838, 0.008508,-0.050119, -0.012136, 0.003801,-0.141783, -0.016434, -0.000906,0.041645, -0.012136, 0.008513,0.041522, -0.318765, -0.015828,0.080896, -0.597121, -0.050897,0.075023, -0.643850, 0.107975,-0.141883, -0.012136, -0.000911,-0.098496, -0.317873, -0.014106,-0.071527, -0.599415, -0.053814,-0.081846, -0.652359, 0.101018
-0.050240, -0.011897, 0.004225,-0.050240, -0.011897, 0.004225,-0.054447, 0.208032, 0.000974,-0.058653, 0.427961, -0.002277,-0.066993, 0.571810, 0.028216,-0.067013, 0.562129, 0.052079,-0.058653, 0.427961, -0.002277,0.081970, 0.435159, 0.000031,0.142992, 0.245247, -0.086717,0.061243, 0.113076, -0.035974,-0.058653, 0.427961, -0.002277,-0.199282, 0.420888, -0.004588,-0.235419, 0.237397, -0.128254,-0.162777, 0.100093, -0.079666,-0.050240, -0.011897, 0.004225,0.041428, -0.007859, 0.009082,-0.050240, -0.011897, 0.004225,-0.141908, -0.015935, -0.000632,0.041516, -0.011897, 0.009086,0.041250, -0.318580, -0.014559,0.080287, -0.596813, -0.050962,0.074415, -0.643767, 0.107843,-0.141996, -0.011897, -0.000636,-0.098503, -0.317641, -0.013296,-0.071238, -0.599029, -0.053886,-0.081377, -0.651517, 0.101113
-0.050209, -0.012034, 0.004863,-0.050209, -0.012034, 0.004863,-0.054636, 0.207882, 0.001027,-0.059064, 0.427796, -0.002809,-0.067272, 0.571562, 0.028111,-0.067422, 0.561886, 0.051976,-0.059064, 0.427796, -0.002809,0.081544, 0.435089, 0.000092,0.145283, 0.243386, -0.080547,0.055780, 0.114216, -0.035475,-0.059064, 0.427796, -0.002809,-0.199677, 0.420629, -0.005713,-0.232227, 0.234500, -0.126396,-0.148616, 0.109883, -0.063387,-0.050209, -0.012034, 0.004863,0.041448, -0.008190, 0.010065,-0.050209, -0.012034, 0.004863,-0.141866, -0.015878, -0.000339,0.041528, -0.012034, 0.010069,0.040990, -0.318740, -0.013273,0.079813, -0.596830, -0.050970,0.073864, -0.643897, 0.107799,-0.141946, -0.012034, -0.000343,-0.098481, -0.317803, -0.012479,-0.070891, -0.599025, -0.053990,-0.080933, -0.651193, 0.101124
-0.050168, -0.012405, 0.005445,-0.050168, -0.012405, 0.005445,-0.054832, 0.207498, 0.001177,-0.059496, 0.427400, -0.003092,-0.067518, 0.571147, 0.027962,-0.067785, 0.561481, 0.051830,-0.059496, 0.427400, -0.003092,0.081073, 0.435043, 0.000631,0.146904, 0.242871, -0.077164,0.053449, 0.114780, -0.037340,-0.059496, 0.427400, -0.003092,-0.200072, 0.419883, -0.006817,-0.229802, 0.230273, -0.122716,-0.143057, 0.109970, -0.055688,-0.050168, -0.012405, 0.005445,0.041474, -0.008770, 0.011054,-0.050168, -0.012405, 0.005445,-0.141810, -0.016040, -0.000164,0.041545, -0.012405, 0.011058,0.040823, -0.319120, -0.012166,0.079493, -0.597082, -0.050949,0.073342, -0.644302, 0.107767,-0.141881, -0.012405, -0.000168,-0.098586, -0.318220, -0.011753,-0.070615, -0.599268, -0.054172,-0.080575, -0.651159, 0.101039
-0.050113, -0.012834, 0.005966,-0.050113, -0.012834, 0.005966,-0.054937, 0.207060, 0.001443,-0.059761, 0.426953, -0.003081,-0.067689, 0.570737, 0.027831,-0.068044, 0.561083, 0.051702,-0.059761, 0.426953, -0.003081,0.080743, 0.435189, 0.001707,0.148760, 0.243121, -0.074445,0.054514, 0.114384, -0.038790,-0.059761, 0.426953, -0.003081,-0.200271, 0.418844, -0.007871,-0.228435, 0.226593, -0.119739,-0.142906, 0.104854, -0.053750,-0.050113, -0.012834, 0.005966,0.041513, -0.009374, 0.011925,-0.050113, -0.012834, 0.005966,-0.141739, -0.016294, 0.000007,0.041578, -0.012834, 0.011929,0.040731, -0.319551, -0.011261,0.079302, -0.597409, -0.050878,0.072847, -0.644848, 0.107760,-0.141804, -0.012834, 0.000003,-0.098819, -0.318708, -0.011155,-0.070444, -0.599597, -0.054356,-0.080372, -0.651258, 0.100934
-0.049861, -0.013221, 0.006737,-0.049861, -0.013221, 0.006737,-0.054811, 0.206664, 0.001916,-0.059760, 0.426548, -0.002905,-0.067815, 0.570382, 0.027739,-0.068180, 0.560734, 0.051613,-0.059760, 0.426548, -0.002905,0.080654, 0.435485, 0.003101,0.150823, 0.243186, -0.070472,0.057316, 0.113148, -0.037707,-0.059760, 0.426548, -0.002905,-0.200182, 0.417737, -0.008913,-0.227972, 0.223939, -0.118174,-0.144584, 0.099898, -0.053750,-0.049861, -0.013221, 0.006737,0.041746, -0.009816, 0.013013,-0.049861, -0.013221, 0.006737,-0.141468, -0.016626, 0.000461,0.041809, -0.013221, 0.013017,0.040571, -0.319917, -0.010433,0.079172, -0.597673, -0.050731,0.072371, -0.645325, 0.107829,-0.141531, -0.013221, 0.000457,-0.099036, -0.319164, -0.010705,-0.070324, -0.599937, -0.054431,-0.080226, -0.651401, 0.100926
-0.049348, -0.013548, 0.007921,-0.049348, -0.013548, 0.007921,-0.054444, 0.206322, 0.002576,-0.059541, 0.426190, -0.002770,-0.067946, 0.570053, 0.027642,-0.068168, 0.560410, 0.051520,-0.059541, 0.426190, -0.002770,0.080781, 0.435737, 0.004353,0.152128, 0.242739, -0.066195,0.059887, 0.111280, -0.035587,-0.059541, 0.426190, -0.002770,-0.199870, 0.416769, -0.009896,-0.228013, 0.221799, -0.116960,-0.145999, 0.096209, -0.053783,-0.049348, -0.013548, 0.007921,0.042228, -0.010060, 0.014588,-0.049348, -0.013548, 0.007921,-0.140924, -0.017036, 0.001254,0.042294, -0.013548, 0.014593,0.040270, -0.320186, -0.009550,0.079061, -0.597818, -0.050514,0.071929, -0.645638, 0.107981,-0.140990, -0.013548, 0.001249,-0.099110, -0.319557, -0.010402,-0.070189, -0.600267, -0.054399,-0.080003, -0.651602, 0.101006
