pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
-0.054104, -0.013909, -0.039006,-0.054104, -0.013909, -0.039006,-0.065471, 0.225296, -0.069733,-0.076837, 0.464501, -0.100460,-0.058097, 0.636224, -0.063094,-0.051224, 0.621857, -0.043522,-0.076837, 0.464501, -0.100460,0.060129, 0.472465, -0.144010,0.106951, 0.233642, -0.128460,0.128741, 0.026870, -0.048975,-0.076837, 0.464501, -0.100460,-0.213817, 0.456672, -0.056925,-0.259617, 0.221612, -0.028358,-0.227548, 0.019968, 0.045115,-0.054104, -0.013909, -0.039006,0.037610, -0.013396, -0.048535,-0.054104, -0.013909, -0.039006,-0.145818, -0.014422, -0.029477,0.037611, -0.013909, -0.048536,0.065898, -0.340569, -0.045238,0.077043, -0.630401, -0.060782,0.130229, -0.665990, 0.075868,-0.145819, -0.013909, -0.029476,-0.121104, -0.339076, -0.045733,-0.100721, -0.628472, -0.072359,-0.136673, -0.674339, 0.073529
-0.052219, -0.013633, -0.038745,-0.052219, -0.013633, -0.038745,-0.064291, 0.225518, -0.069625,-0.076364, 0.464669, -0.100504,-0.057176, 0.636359, -0.063215,-0.050381, 0.622248, -0.043431,-0.076364, 0.464669, -0.100504,0.060389, 0.473454, -0.144567,0.108591, 0.234761, -0.131431,0.131174, 0.030314, -0.046349,-0.076364, 0.464669, -0.100504,-0.213130, 0.456018, -0.056458,-0.256166, 0.220336, -0.028723,-0.224778, 0.018962, 0.045777,-0.052219, -0.013633, -0.038745,0.039496, -0.012390, -0.048193,-0.052219, -0.013633, -0.038745,-0.143934, -0.014876, -0.029297,0.039505, -0.013633, -0.048194,0.066208, -0.340412, -0.043698,0.076902, -0.630151, -0.061170,0.129563, -0.665471, 0.075753,-0.143943, -0.013633, -0.029296,-0.120464, -0.338866, -0.046040,-0.100240, -0.628302, -0.072352,-0.136218, -0.675351, 0.073153
-0.050106, -0.013383, -0.038741,-0.050106, -0.013383, -0.038741,-0.062526, 0.225744, -0.069665,-0.074946, 0.464872, -0.100590,-0.055616, 0.636523, -0.063194,-0.048880, 0.622569, -0.043279,-0.074946, 0.464872, -0.100590,0.061672, 0.474244, -0.144948,0.111212, 0.235732, -0.133636,0.133779, 0.033073, -0.044374,-0.074946, 0.464872, -0.100590,-0.211577, 0.455633, -0.056246,-0.253189, 0.219582, -0.029496,-0.221744, 0.018420, 0.045551,-0.050106, -0.013383, -0.038741,0.041609, -0.011662, -0.048121,-0.050106, -0.013383, -0.038741,-0.141821, -0.015104, -0.029361,0.041625, -0.013383, -0.048123,0.066369, -0.340304, -0.042775,0.076680, -0.629971, -0.061603,0.129025, -0.664794, 0.075568,-0.141837, -0.013383, -0.029359,-0.119956, -0.338712, -0.046406,-0.099904, -0.628196, -0.072321,-0.135977, -0.676140, 0.072867
-0.047912, -0.013221, -0.038887,-0.047912, -0.013221, -0.038887,-0.060172, 0.225938, -0.069628,-0.072432, 0.465097, -0.100369,-0.053258, 0.636738, -0.062844,-0.046547, 0.622849, -0.042874,-0.072432, 0.465097, -0.100369,0.064181, 0.474810, -0.144668,0.115021, 0.236551, -0.133787,0.136731, 0.034808, -0.042266,-0.072432, 0.465097, -0.100369,-0.209060, 0.455519, -0.056085,-0.250705, 0.219368, -0.030292,-0.218072, 0.018470, 0.044957,-0.047912, -0.013221, -0.038887,0.043805, -0.011334, -0.048215,-0.047912, -0.013221, -0.038887,-0.139629, -0.015108, -0.029559,0.043824, -0.013221, -0.048216,0.066441, -0.340289, -0.042490,0.076400, -0.629920, -0.062069,0.128713, -0.664024, 0.075295,-0.139648, -0.013221, -0.029558,-0.119386, -0.338642, -0.046850,-0.099708, -0.628197, -0.072251,-0.135909, -0.676662, 0.072732
-0.045818, -0.013173, -0.038863,-0.045818, -0.013173, -0.038863,-0.057452, 0.226072, -0.069174,-0.069086, 0.465318, -0.099486,-0.050248, 0.637035, -0.062141,-0.043515, 0.623209, -0.042135,-0.069086, 0.465318, -0.099486,0.067646, 0.475246, -0.143366,0.119582, 0.237279, -0.131317,0.139952, 0.035755, -0.039010,-0.069086, 0.465318, -0.099486,-0.205833, 0.455524, -0.055620,-0.247966, 0.219389, -0.030477,-0.213327, 0.018928, 0.045039,-0.045818, -0.013173, -0.038863,0.045914, -0.011309, -0.048041,-0.045818, -0.013173, -0.038863,-0.137550, -0.015037, -0.029685,0.045933, -0.013173, -0.048042,0.066613, -0.340372, -0.042457,0.076121, -0.629989, -0.062457,0.128648, -0.663282, 0.075024,-0.137569, -0.013173, -0.029684,-0.118367, -0.338637, -0.047372,-0.099518, -0.628299, -0.072170,-0.135782, -0.676971, 0.072729
-0.043493, -0.013175, -0.038620,-0.043493, -0.013175, -0.038620,-0.054233, 0.226172, -0.068450,-0.064973, 0.465520, -0.098281,-0.046635, 0.637386, -0.061374,-0.039852, 0.623662, -0.041315,-0.064973, 0.465520, -0.098281,0.071943, 0.475619, -0.141548,0.124265, 0.237830, -0.127788,0.143092, 0.036344, -0.035072,-0.064973, 0.465520, -0.098281,-0.201902, 0.455555, -0.055028,-0.244020, 0.219367, -0.030368,-0.207361, 0.019464, 0.045672,-0.043493, -0.013175, -0.038620,0.048279, -0.011370, -0.047405,-0.043493, -0.013175, -0.038620,-0.135265, -0.014980, -0.029835,0.048296, -0.013175, -0.047407,0.067082, -0.340498, -0.042413,0.075895, -0.630117, -0.062698,0.128760, -0.662574, 0.074853,-0.135282, -0.013175, -0.029833,-0.116758, -0.338654, -0.047971,-0.099270, -0.628455, -0.072137,-0.135497, -0.677104, 0.072778
-0.040335, -0.013149, -0.038420,-0.040335, -0.013149, -0.038420,-0.050220, 0.226264, -0.068017,-0.060106, 0.465678, -0.097614,-0.042338, 0.637625, -0.060808,-0.035554, 0.623986, -0.040692,-0.060106, 0.465678, -0.097614,0.076997, 0.475913, -0.140249,0.128495, 0.237999, -0.125566,0.145915, 0.036748, -0.032068,-0.060106, 0.465678, -0.097614,-0.197224, 0.455577, -0.054992,-0.238700, 0.219193, -0.031128,-0.200620, 0.019870, 0.045731,-0.040335, -0.013149, -0.038420,0.051491, -0.011364, -0.046628,-0.040335, -0.013149, -0.038420,-0.132161, -0.014934, -0.030212,0.051508, -0.013149, -0.046629,0.068044, -0.340602, -0.042257,0.075811, -0.630230, -0.062829,0.128922, -0.661908, 0.074809,-0.132178, -0.013149, -0.030211,-0.114858, -0.338680, -0.048590,-0.099086, -0.628629, -0.072156,-0.135233, -0.677131, 0.072829
-0.036270, -0.013062, -0.038361,-0.036270, -0.013062, -0.038361,-0.045484, 0.226366, -0.068051,-0.054698, 0.465795, -0.097742,-0.037398, 0.637641, -0.060246,-0.030767, 0.624006, -0.040076,-0.054698, 0.465795, -0.097742,0.082631, 0.476119, -0.139622,0.132218, 0.237799, -0.124961,0.148649, 0.036782, -0.030782,-0.054698, 0.465795, -0.097742,-0.192041, 0.455606, -0.055875,-0.232745, 0.218972, -0.033182,-0.193923, 0.020187, 0.044692,-0.036270, -0.013062, -0.038361,0.055607, -0.011258, -0.045963,-0.036270, -0.013062, -0.038361,-0.128147, -0.014866, -0.030759,0.055625, -0.013062, -0.045964,0.069638, -0.340637, -0.041926,0.075942, -0.630270, -0.062929,0.129007, -0.661414, 0.074849,-0.128165, -0.013062, -0.030758,-0.113100, -0.338704, -0.049161,-0.099100, -0.628790, -0.072153,-0.135204, -0.677178, 0.072881
-0.031912, -0.012917, -0.038244,-0.031912, -0.012917, -0.038244,-0.040438, 0.226524, -0.068038,-0.048964, 0.465965, -0.097832,-0.032131, 0.637601, -0.059176,-0.025814, 0.623907, -0.038945,-0.048964, 0.465965, -0.097832,0.088716, 0.476302, -0.138540,0.136189, 0.237534, -0.124169,0.151864, 0.036223, -0.030493,-0.048964, 0.465965, -0.097832,-0.186659, 0.455763, -0.057137,-0.226924, 0.218967, -0.035371,-0.187865, 0.020527, 0.043261,-0.031912, -0.012917, -0.038244,0.060016, -0.011089, -0.045200,-0.031912, -0.012917, -0.038244,-0.123840, -0.014745, -0.031288,0.060034, -0.012917, -0.045201,0.071810, -0.340583, -0.041445,0.076199, -0.630208, -0.063039,0.128965, -0.661138, 0.074901,-0.123858, -0.012917, -0.031287,-0.111577, -0.338676, -0.049691,-0.099216, -0.628884, -0.072069,-0.135366, -0.677315, 0.072939
-0.027880, -0.012754, -0.038086,-0.027880, -0.012754, -0.038086,-0.035487, 0.226757, -0.067559,-0.043094, 0.466270, -0.097031,-0.026976, 0.637752, -0.057404,-0.021008, 0.624009, -0.037101,-0.043094, 0.466270, -0.097031,0.095033, 0.476527, -0.136219,0.141094, 0.237458, -0.122257,0.155912, 0.035226, -0.030441,-0.043094, 0.466270, -0.097031,-0.181234, 0.456147, -0.057857,-0.221328, 0.219313, -0.036195,-0.182451, 0.020862, 0.042499,-0.027880, -0.012754, -0.038086,0.064100, -0.010943, -0.044322,-0.027880, -0.012754, -0.038086,-0.119860, -0.014565, -0.031850,0.064118, -0.012754, -0.044323,0.074325, -0.340477, -0.040920,0.076400, -0.630079, -0.063155,0.128842, -0.660943, 0.074924,-0.119878, -0.012754, -0.031849,-0.110023, -0.338599, -0.050197,-0.099217, -0.628918, -0.071925,-0.135516, -0.677480, 0.073003
