pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
0.025983, -0.006700, -0.017312,0.025983, -0.006700, -0.017312,0.031386, 0.253351, -0.029985,0.036789, 0.513402, -0.042658,0.007361, 0.721433, -0.001285,-0.002044, 0.706311, 0.025321,0.036789, 0.513402, -0.042658,0.202081, 0.526678, -0.027715,0.230117, 0.243830, -0.009152,0.190010, 0.017897, 0.058692,0.036789, 0.513402, -0.042658,-0.128515, 0.500287, -0.057609,-0.180421, 0.217131, -0.028675,-0.211504, -0.011221, 0.030757,0.025983, -0.006700, -0.017312,0.130036, -0.006845, -0.016596,0.025983, -0.006700, -0.017312,-0.078070, -0.006555, -0.018028,0.130037, -0.006700, -0.016596,0.098596, -0.401660, -0.031752,0.126963, -0.785155, -0.059534,0.103687, -0.850619, 0.115299,-0.078071, -0.006700, -0.018028,-0.067721, -0.413746, -0.039709,-0.112279, -0.789918, -0.057576,-0.121970, -0.855487, 0.114039
0.024319, -0.006978, -0.013858,0.024319, -0.006978, -0.013858,0.030906, 0.252967, -0.028060,0.037492, 0.512911, -0.042262,0.007630, 0.720860, -0.000785,-0.001723, 0.705732, 0.025837,0.037492, 0.512911, -0.042262,0.202709, 0.525740, -0.026142,0.231754, 0.242900, -0.009088,0.193760, 0.017167, 0.060613,0.037492, 0.512911, -0.042262,-0.127736, 0.500243, -0.058393,-0.180251, 0.217211, -0.029337,-0.211173, -0.010981, 0.030785,0.024319, -0.006978, -0.013858,0.128302, -0.007304, -0.009978,0.024319, -0.006978, -0.013858,-0.079664, -0.006652, -0.017738,0.128303, -0.006978, -0.009978,0.100801, -0.401995, -0.030406,0.128723, -0.785391, -0.059942,0.107204, -0.852928, 0.114327,-0.079665, -0.006978, -0.017738,-0.070269, -0.413987, -0.040522,-0.113755, -0.790356, -0.056811,-0.123923, -0.857012, 0.114358
0.023145, -0.007411, -0.011331,0.023145, -0.007411, -0.011331,0.030539, 0.252446, -0.026697,0.037933, 0.512302, -0.042064,0.007885, 0.720160, -0.000264,-0.001449, 0.705015, 0.026354,0.037933, 0.512302, -0.042064,0.203113, 0.524772, -0.025303,0.233332, 0.241974, -0.009643,0.198080, 0.016201, 0.061358,0.037933, 0.512302, -0.042064,-0.127258, 0.499993, -0.058835,-0.180109, 0.217006, -0.029962,-0.210470, -0.011002, 0.031142,0.023145, -0.007411, -0.011331,0.127027, -0.007996, -0.005346,0.023145, -0.007411, -0.011331,-0.080737, -0.006826, -0.017316,0.127029, -0.007411, -0.005346,0.102039, -0.402421, -0.028883,0.129729, -0.785674, -0.060430,0.109587, -0.854884, 0.113346,-0.080739, -0.007411, -0.017316,-0.072013, -0.414352, -0.041543,-0.114577, -0.790889, -0.056302,-0.124871, -0.858648, 0.114426
0.022577, -0.007710, -0.009964,0.022577, -0.007710, -0.009964,0.030323, 0.252096, -0.026007,0.038069, 0.511901, -0.042050,0.008177, 0.719695, 0.000178,-0.001165, 0.704532, 0.026784,0.038069, 0.511901, -0.042050,0.203271, 0.523975, -0.025216,0.234827, 0.241258, -0.010761,0.203249, 0.014975, 0.060343,0.038069, 0.511901, -0.042050,-0.127144, 0.499988, -0.058895,-0.179995, 0.216956, -0.030465,-0.208387, -0.011059, 0.031550,0.022577, -0.007710, -0.009964,0.126405, -0.008515, -0.003120,0.022577, -0.007710, -0.009964,-0.081251, -0.006905, -0.016808,0.126408, -0.007710, -0.003120,0.102412, -0.402746, -0.027261,0.130006, -0.785811, -0.061087,0.110746, -0.856115, 0.112349,-0.081254, -0.007710, -0.016808,-0.072841, -0.414559, -0.042632,-0.114728, -0.791222, -0.056059,-0.124724, -0.860174, 0.114208
0.022317, -0.007420, -0.009236,0.022317, -0.007420, -0.009236,0.030173, 0.252359, -0.025660,0.038029, 0.512137, -0.042084,0.008646, 0.719953, 0.000390,-0.000696, 0.704795, 0.026998,0.038029, 0.512137, -0.042084,0.203292, 0.523586, -0.025409,0.236361, 0.240979, -0.012246,0.209104, 0.013723, 0.057529,0.038029, 0.512137, -0.042084,-0.127243, 0.500849, -0.058770,-0.179969, 0.217748, -0.030791,-0.204119, -0.010615, 0.031739,0.022317, -0.007420, -0.009236,0.126124, -0.008277, -0.002096,0.022317, -0.007420, -0.009236,-0.081490, -0.006563, -0.016376,0.126128, -0.007420, -0.002096,0.102594, -0.402513, -0.025754,0.129996, -0.785392, -0.061767,0.111221, -0.856178, 0.111527,-0.081494, -0.007420, -0.016376,-0.073068, -0.414180, -0.043566,-0.114567, -0.790921, -0.055983,-0.124036, -0.861202, 0.113770
0.021956, -0.006491, -0.008434,0.021956, -0.006491, -0.008434,0.029939, 0.253258, -0.025256,0.037923, 0.513007, -0.042077,0.009426, 0.720950, 0.000378,0.000132, 0.705826, 0.027022,0.037923, 0.513007, -0.042077,0.203259, 0.523586, -0.025562,0.238063, 0.241112, -0.014165,0.214990, 0.012760, 0.053513,0.037923, 0.513007, -0.042077,-0.127423, 0.502589, -0.058605,-0.180152, 0.219460, -0.030917,-0.198220, -0.009304, 0.032198,0.021956, -0.006491, -0.008434,0.125743, -0.007315, -0.001005,0.021956, -0.006491, -0.008434,-0.081831, -0.005667, -0.015863,0.125746, -0.006491, -0.001005,0.102996, -0.401620, -0.024815,0.130066, -0.784380, -0.062322,0.111477, -0.855046, 0.111040,-0.081834, -0.006491, -0.015863,-0.073034, -0.413180, -0.043980,-0.114423, -0.789948, -0.055940,-0.123363, -0.861614, 0.113262
0.021334, -0.005321, -0.007227,0.021334, -0.005321, -0.007227,0.029534, 0.254385, -0.024603,0.037733, 0.514091, -0.041979,0.010439, 0.722216, 0.000374,0.001276, 0.707147, 0.027095,0.037733, 0.514091, -0.041979,0.203148, 0.523722, -0.025665,0.239656, 0.241387, -0.016318,0.219820, 0.012250, 0.049711,0.037733, 0.514091, -0.041979,-0.127690, 0.504620, -0.058306,-0.180550, 0.221511, -0.030672,-0.192303, -0.007337, 0.033619,0.021334, -0.005321, -0.007227,0.125102, -0.006188, 0.000467,0.021334, -0.005321, -0.007227,-0.082434, -0.004454, -0.014921,0.125105, -0.005321, 0.000467,0.103452, -0.400422, -0.024791,0.130241, -0.783159, -0.062725,0.111660, -0.853303, 0.110851,-0.082437, -0.005321, -0.014921,-0.072892, -0.411980, -0.043223,-0.114332, -0.788718, -0.055925,-0.122843, -0.861642, 0.112760
0.020685, -0.004294, -0.005776,0.020685, -0.004294, -0.005776,0.029051, 0.255365, -0.023762,0.037418, 0.515024, -0.041748,0.011427, 0.723320, 0.000583,0.002505, 0.708332, 0.027430,0.037418, 0.515024, -0.041748,0.202914, 0.523811, -0.025791,0.240555, 0.241576, -0.018064,0.222748, 0.012138, 0.047500,0.037418, 0.515024, -0.041748,-0.128086, 0.506398, -0.057717,-0.180981, 0.223324, -0.029789,-0.187690, -0.005351, 0.035830,0.020685, -0.004294, -0.005776,0.124447, -0.005264, 0.001974,0.020685, -0.004294, -0.005776,-0.083077, -0.003324, -0.013526,0.124452, -0.004294, 0.001975,0.103648, -0.399286, -0.025601,0.130359, -0.782079, -0.063025,0.111782, -0.851682, 0.110768,-0.083082, -0.004294, -0.013527,-0.072596, -0.411001, -0.040789,-0.114088, -0.787638, -0.056042,-0.122287, -0.861523, 0.112240
0.020351, -0.003471, -0.004451,0.020351, -0.003471, -0.004451,0.028676, 0.256153, -0.022955,0.037001, 0.515777, -0.041458,0.012247, 0.724214, 0.000921,0.003673, 0.709338, 0.027943,0.037001, 0.515777, -0.041458,0.202581, 0.523903, -0.026025,0.240521, 0.241689, -0.019021,0.223946, 0.012258, 0.046888,0.037001, 0.515777, -0.041458,-0.128585, 0.507811, -0.056904,-0.181369, 0.224788, -0.028264,-0.184729, -0.003791, 0.037941,0.020351, -0.003471, -0.004451,0.124125, -0.004470, 0.003145,0.020351, -0.003471, -0.004451,-0.083423, -0.002472, -0.012047,0.124129, -0.003471, 0.003145,0.103546, -0.398288, -0.026986,0.130310, -0.781182, -0.063318,0.111833, -0.850493, 0.110603,-0.083427, -0.003471, -0.012047,-0.071980, -0.410296, -0.037067,-0.113544, -0.786745, -0.056273,-0.121587, -0.861239, 0.111747
0.020365, -0.002739, -0.003516,0.020365, -0.002739, -0.003516,0.028460, 0.256864, -0.022415,0.036555, 0.516466, -0.041315,0.013019, 0.725037, 0.001102,0.004873, 0.710290, 0.028327,0.036555, 0.516466, -0.041315,0.202220, 0.524088, -0.026542,0.239938, 0.241847, -0.019423,0.224295, 0.012430, 0.046759,0.036555, 0.516466, -0.041315,-0.129115, 0.509006, -0.056101,-0.181966, 0.226092, -0.026512,-0.183116, -0.002557, 0.039528,0.020365, -0.002739, -0.003516,0.124160, -0.003682, 0.003792,0.020365, -0.002739, -0.003516,-0.083430, -0.001796, -0.010824,0.124164, -0.002739, 0.003793,0.103398, -0.397339, -0.028943,0.130119, -0.780383, -0.063695,0.111805, -0.849587, 0.110285,-0.083434, -0.002739, -0.010825,-0.070958, -0.409682, -0.033315,-0.112787, -0.785879, -0.056462,-0.120921, -0.860726, 0.111398
