pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
-0.022460, -0.023502, -0.025205,-0.022460, -0.023502, -0.025205,-0.013968, 0.245712, -0.043082,-0.005475, 0.514927, -0.060958,-0.004050, 0.726898, -0.034399,0.002776, 0.715961, -0.006453,-0.005475, 0.514927, -0.060958,0.159790, 0.510953, -0.068219,0.195664, 0.235969, -0.049162,0.201842, 0.001747, 0.018529,-0.005475, 0.514927, -0.060958,-0.170737, 0.519050, -0.053708,-0.210364, 0.251419, -0.017594,-0.168805, 0.042000, 0.091646,-0.022460, -0.023502, -0.025205,0.085385, -0.025551, -0.031214,-0.022460, -0.023502, -0.025205,-0.130305, -0.021453, -0.019196,0.085405, -0.023502, -0.031215,0.091944, -0.367456, -0.035235,0.073344, -0.670459, -0.045671,0.157711, -0.735333, 0.092622,-0.130325, -0.023502, -0.019195,-0.134362, -0.364741, -0.028017,-0.118236, -0.673105, -0.063507,-0.186749, -0.749430, 0.103806
-0.027858, -0.023009, -0.024215,-0.027858, -0.023009, -0.024215,-0.020549, 0.246251, -0.041921,-0.013239, 0.515512, -0.059626,-0.014696, 0.727549, -0.033600,-0.008085, 0.716797, -0.005531,-0.013239, 0.515512, -0.059626,0.152131, 0.511857, -0.064148,0.191573, 0.237314, -0.045810,0.194181, 0.002725, 0.020835,-0.013239, 0.515512, -0.059626,-0.178606, 0.519316, -0.055113,-0.216730, 0.251313, -0.020155,-0.176800, 0.040604, 0.087194,-0.027858, -0.023009, -0.024215,0.080097, -0.024217, -0.028109,-0.027858, -0.023009, -0.024215,-0.135813, -0.021801, -0.020321,0.080104, -0.023009, -0.028109,0.088443, -0.366859, -0.035926,0.073217, -0.670046, -0.046489,0.157385, -0.734091, 0.092311,-0.135820, -0.023009, -0.020321,-0.136638, -0.364185, -0.032001,-0.118580, -0.672628, -0.065829,-0.186392, -0.748782, 0.101847
-0.032190, -0.023047, -0.024107,-0.032190, -0.023047, -0.024107,-0.026286, 0.246248, -0.041808,-0.020382, 0.515544, -0.059508,-0.022981, 0.727670, -0.034313,-0.016891, 0.716949, -0.006114,-0.020382, 0.515544, -0.059508,0.145042, 0.512215, -0.061666,0.186968, 0.238014, -0.043727,0.187234, 0.003625, 0.023670,-0.020382, 0.515544, -0.059508,-0.185804, 0.519021, -0.057360,-0.222485, 0.250758, -0.022862,-0.184953, 0.038330, 0.081935,-0.032190, -0.023047, -0.024107,0.075824, -0.023174, -0.026048,-0.032190, -0.023047, -0.024107,-0.140204, -0.022920, -0.022165,0.075825, -0.023047, -0.026049,0.084981, -0.366793, -0.036902,0.072906, -0.670136, -0.047080,0.156910, -0.733545, 0.092111,-0.140205, -0.023047, -0.022165,-0.138557, -0.364178, -0.035023,-0.119004, -0.672652, -0.067721,-0.186347, -0.749234, 0.099949
-0.035476, -0.023714, -0.025387,-0.035476, -0.023714, -0.025387,-0.031100, 0.245627, -0.042831,-0.026724, 0.514968, -0.060276,-0.029541, 0.727234, -0.036305,-0.024210, 0.716549, -0.007939,-0.026724, 0.514968, -0.060276,0.138723, 0.512085, -0.060231,0.182154, 0.238148, -0.041838,0.180187, 0.004305, 0.027400,-0.026724, 0.514968, -0.060276,-0.192168, 0.518001, -0.060330,-0.228423, 0.249650, -0.026063,-0.193364, 0.035470, 0.075990,-0.035476, -0.023714, -0.025387,0.072552, -0.022900, -0.025823,-0.035476, -0.023714, -0.025387,-0.143504, -0.024528, -0.024952,0.072555, -0.023714, -0.025822,0.081993, -0.367427, -0.037455,0.072373, -0.670876, -0.047071,0.156249, -0.734046, 0.092306,-0.143507, -0.023714, -0.024952,-0.140141, -0.364857, -0.037119,-0.119075, -0.673328, -0.068896,-0.186326, -0.750386, 0.098593
-0.038400, -0.024286, -0.027310,-0.038400, -0.024286, -0.027310,-0.035511, 0.245114, -0.044147,-0.032622, 0.514514, -0.060984,-0.036159, 0.726922, -0.038406,-0.031560, 0.716346, -0.009872,-0.032622, 0.514514, -0.060984,0.132820, 0.512339, -0.058758,0.176737, 0.238598, -0.038681,0.171915, 0.005470, 0.032793,-0.032622, 0.514514, -0.060984,-0.198063, 0.516838, -0.063219,-0.234541, 0.248483, -0.029218,-0.202521, 0.032552, 0.070105,-0.038400, -0.024286, -0.027310,0.069622, -0.022885, -0.026869,-0.038400, -0.024286, -0.027310,-0.146422, -0.025687, -0.027751,0.069631, -0.024286, -0.026869,0.079830, -0.368019, -0.037194,0.071840, -0.671514, -0.046853,0.155476, -0.735159, 0.092452,-0.146431, -0.024286, -0.027751,-0.141427, -0.365453, -0.038609,-0.118677, -0.673905, -0.069397,-0.186200, -0.751195, 0.097876
-0.041517, -0.023841, -0.029059,-0.041517, -0.023841, -0.029059,-0.039957, 0.245615, -0.045152,-0.038396, 0.515072, -0.061244,-0.043562, 0.727581, -0.039978,-0.039385, 0.717112, -0.011340,-0.038396, 0.515072, -0.061244,0.127015, 0.513882, -0.056917,0.170347, 0.240287, -0.033808,0.162340, 0.007870, 0.039665,-0.038396, 0.515072, -0.061244,-0.203806, 0.516411, -0.065579,-0.240178, 0.248005, -0.031864,-0.212807, 0.030088, 0.064466,-0.041517, -0.023841, -0.029059,0.066498, -0.022109, -0.028183,-0.041517, -0.023841, -0.029059,-0.149532, -0.025573, -0.029935,0.066511, -0.023841, -0.028183,0.078388, -0.367572, -0.036623,0.071671, -0.671074, -0.046996,0.154813, -0.736129, 0.091952,-0.149545, -0.023841, -0.029935,-0.142189, -0.365003, -0.039566,-0.118187, -0.673477, -0.069151,-0.186090, -0.751059, 0.097833
-0.044968, -0.022413, -0.030278,-0.044968, -0.022413, -0.030278,-0.044492, 0.247078, -0.045844,-0.044015, 0.516570, -0.061409,-0.051185, 0.729139, -0.041354,-0.047087, 0.718720, -0.012686,-0.044015, 0.516570, -0.061409,0.121341, 0.516489, -0.055206,0.163654, 0.243122, -0.027893,0.152223, 0.011439, 0.047423,-0.044015, 0.516570, -0.061409,-0.209370, 0.516800, -0.067619,-0.245395, 0.248284, -0.034416,-0.223999, 0.028264, 0.058590,-0.044968, -0.022413, -0.030278,0.063040, -0.020478, -0.029105,-0.044968, -0.022413, -0.030278,-0.152976, -0.024348, -0.031451,0.063058, -0.022413, -0.029105,0.077317, -0.366079, -0.036421,0.072069, -0.669584, -0.047518,0.154563, -0.736548, 0.090910,-0.152994, -0.022413, -0.031451,-0.142530, -0.363525, -0.039888,-0.118216, -0.672106, -0.068079,-0.186202, -0.750191, 0.098635
-0.048641, -0.021009, -0.030705,-0.048641, -0.021009, -0.030705,-0.049078, 0.248483, -0.046253,-0.049516, 0.517976, -0.061801,-0.058542, 0.730577, -0.042861,-0.054433, 0.720201, -0.014179,-0.049516, 0.517976, -0.061801,0.115774, 0.518960, -0.054110,0.157460, 0.246018, -0.022003,0.142194, 0.015425, 0.055933,-0.049516, 0.517976, -0.061801,-0.214807, 0.517141, -0.069501,-0.251258, 0.248541, -0.037463,-0.235070, 0.026835, 0.052541,-0.048641, -0.021009, -0.030705,0.059364, -0.019023, -0.029314,-0.048641, -0.021009, -0.030705,-0.156646, -0.022995, -0.032096,0.059382, -0.021009, -0.029314,0.076366, -0.364554, -0.036516,0.072876, -0.668072, -0.047945,0.154786, -0.736332, 0.090195,-0.156664, -0.021009, -0.032096,-0.143166, -0.362033, -0.039740,-0.119080, -0.670759, -0.066504,-0.186694, -0.749277, 0.100158
-0.052210, -0.020504, -0.030286,-0.052210, -0.020504, -0.030286,-0.053659, 0.248958, -0.046300,-0.055109, 0.518419, -0.062313,-0.065639, 0.731015, -0.044103,-0.061696, 0.720692, -0.015378,-0.055109, 0.518419, -0.062313,0.110122, 0.520315, -0.053579,0.151448, 0.247881, -0.017004,0.132409, 0.018910, 0.064790,-0.055109, 0.518419, -0.062313,-0.220340, 0.516673, -0.071056,-0.258273, 0.248071, -0.040802,-0.244948, 0.025385, 0.047230,-0.052210, -0.020504, -0.030286,0.055797, -0.018659, -0.028866,-0.052210, -0.020504, -0.030286,-0.160217, -0.022349, -0.031707,0.055813, -0.020504, -0.028865,0.075330, -0.363907, -0.036393,0.073633, -0.667435, -0.047956,0.154981, -0.735440, 0.090642,-0.160233, -0.020504, -0.031707,-0.144562, -0.361430, -0.039574,-0.120461, -0.670271, -0.064955,-0.187449, -0.749026, 0.101848
-0.055264, -0.020968, -0.029534,-0.055264, -0.020968, -0.029534,-0.057944, 0.248447, -0.046158,-0.060623, 0.517863, -0.062782,-0.072330, 0.730390, -0.044501,-0.068738, 0.720067, -0.015731,-0.060623, 0.517863, -0.062782,0.104550, 0.520419, -0.053179,0.144912, 0.248332, -0.013111,0.122644, 0.021149, 0.072751,-0.060623, 0.517863, -0.062782,-0.225798, 0.515455, -0.072394,-0.265261, 0.246892, -0.043802,-0.253391, 0.023699, 0.043149,-0.055264, -0.020968, -0.029534,0.052748, -0.019384, -0.028226,-0.055264, -0.020968, -0.029534,-0.163276, -0.022552, -0.030842,0.052760, -0.020968, -0.028226,0.073930, -0.364269, -0.035942,0.073893, -0.667794, -0.047721,0.154443, -0.734170, 0.092126,-0.163288, -0.020968, -0.030842,-0.146324, -0.361807, -0.039747,-0.121598, -0.670717, -0.063644,-0.188035, -0.749835, 0.103208
-0.057803, -0.022006, -0.029089,-0.057803, -0.022006, -0.029089,-0.061706, 0.247368, -0.046128,-0.065609, 0.516743, -0.063166,-0.078445, 0.729126, -0.043985,-0.075097, 0.718726, -0.015213,-0.065609, 0.516743, -0.063166,0.099493, 0.519662, -0.052492,0.138111, 0.247736, -0.009708,0.112395, 0.021993, 0.078945,-0.065609, 0.516743, -0.063166,-0.230712, 0.513973, -0.073850,-0.270676, 0.245388, -0.046168,-0.260752, 0.021741, 0.039855,-0.057803, -0.022006, -0.029089,0.050214, -0.020677, -0.027857,-0.057803, -0.022006, -0.029089,-0.165820, -0.023335, -0.030321,0.050222, -0.022006, -0.027857,0.072000, -0.365271, -0.035486,0.073541, -0.668778, -0.047611,0.153144, -0.733358, 0.093614,-0.165828, -0.022006, -0.030321,-0.147852, -0.362765, -0.040249,-0.121970, -0.671705, -0.062478,-0.188084, -0.751500, 0.104180
-0.060443, -0.023242, -0.029096,-0.060443, -0.023242, -0.029096,-0.065369, 0.246113, -0.046173,-0.070294, 0.515469, -0.063249,-0.084472, 0.727656, -0.042878,-0.080964, 0.717173, -0.014155,-0.070294, 0.515469, -0.063249,0.094724, 0.518555, -0.051398,0.131826, 0.246833, -0.006049,0.101375, 0.022228, 0.083982,-0.070294, 0.515469, -0.063249,-0.235314, 0.512532, -0.075110,-0.274542, 0.243792, -0.047888,-0.267261, 0.019583, 0.036929,-0.060443, -0.023242, -0.029096,0.047576, -0.022085, -0.027919,-0.060443, -0.023242, -0.029096,-0.168462, -0.024399, -0.030273,0.047583, -0.023242, -0.027919,0.069688, -0.366493, -0.035234,0.072842, -0.669971, -0.047763,0.151859, -0.733543, 0.094245,-0.168469, -0.023242, -0.030273,-0.149130, -0.363906, -0.040854,-0.121715, -0.672820, -0.061553,-0.187627, -0.753223, 0.104893
-0.063721, -0.024466, -0.029348,-0.063721, -0.024466, -0.029348,-0.069655, 0.244893, -0.046037,-0.075589, 0.514253, -0.062725,-0.091029, 0.726278, -0.041608,-0.087008, 0.715784, -0.012956,-0.075589, 0.514253, -0.062725,0.089369, 0.517499, -0.050097,0.126183, 0.246162, -0.002274,0.090250, 0.022902, 0.089071,-0.075589, 0.514253, -0.062725,-0.240548, 0.511155, -0.075363,-0.278123, 0.242090, -0.049042,-0.272828, 0.017370, 0.034563,-0.063721, -0.024466, -0.029348,0.044301, -0.023378, -0.028395,-0.063721, -0.024466, -0.029348,-0.171743, -0.025555, -0.030301,0.044307, -0.024466, -0.028395,0.067293, -0.367670, -0.035147,0.072160, -0.671113, -0.047980,0.151260, -0.734202, 0.094198,-0.171749, -0.024466, -0.030301,-0.150539, -0.365001, -0.041460,-0.121331, -0.673807, -0.061286,-0.186939, -0.754297, 0.105238
