pelvis_x,pelvis_y,pelvis_z,spine_x,spine_y,spine_z,spine.001_x,spine.001_y,spine.001_z,neck_x,neck_y,neck_z,face_x,face_y,face_z,face_EndSite_x,face_EndSite_y,face_EndSite_z,shoulder.L_x,shoulder.L_y,shoulder.L_z,upper_arm.L_x,upper_arm.L_y,upper_arm.L_z,forearm.L_x,forearm.L_y,forearm.L_z,forearm.L_EndSite_x,forearm.L_EndSite_y,forearm.L_EndSite_z,shoulder.R_x,shoulder.R_y,shoulder.R_z,upper_arm.R_x,upper_arm.R_y,upper_arm.R_z,forearm.R_x,forearm.R_y,forearm.R_z,forearm.R_EndSite_x,forearm.R_EndSite_y,forearm.R_EndSite_z,pelvis.L_x,pelvis.L_y,pelvis.L_z,pelvis.L_EndSite_x,pelvis.L_EndSite_y,pelvis.L_EndSite_z,pelvis.R_x,pelvis.R_y,pelvis.R_z,pelvis.R_EndSite_x,pelvis.R_EndSite_y,pelvis.R_EndSite_z,thigh.L_x,thigh.L_y,thigh.L_z,shin.L_x,shin.L_y,shin.L_z,foot.L_x,foot.L_y,foot.L_z,foot.L_EndSite_x,foot.L_EndSite_y,foot.L_EndSite_z,thigh.R_x,thigh.R_y,thigh.R_z,shin.R_x,shin.R_y,shin.R_z,foot.R_x,foot.R_y,foot.R_z,foot.R_EndSite_x,foot.R_EndSite_y,foot.R_EndSite_z
-0.016408, -0.014918, 0.011867,-0.016408, -0.014918, 0.011867,-0.013465, 0.226116, -0.016508,-0.010521, 0.467151, -0.044883,-0.012531, 0.669310, -0.009034,-0.015747, 0.654384, 0.027928,-0.010521, 0.467151, -0.044883,0.154493, 0.464648, -0.021969,0.202719, 0.199843, 0.002830,0.192174, -0.005598, 0.083742,-0.010521, 0.467151, -0.044883,-0.175530, 0.469799, -0.067814,-0.231743, 0.206045, -0.053437,-0.228227, -0.011244, 0.012699,-0.016408, -0.014918, 0.011867,0.082077, -0.012506, 0.029067,-0.016408, -0.014918, 0.011867,-0.114893, -0.017330, -0.005333,0.082106, -0.014918, 0.029072,0.098631, -0.374603, -0.017839,0.121540, -0.696106, -0.049939,0.132217, -0.764109, 0.101934,-0.114922, -0.014918, -0.005338,-0.101002, -0.358603, -0.042050,-0.106736, -0.687024, -0.056282,-0.154576, -0.752442, 0.100556
-0.015178, -0.013857, 0.012856,-0.015178, -0.013857, 0.012856,-0.012972, 0.227096, -0.016265,-0.010765, 0.468050, -0.045387,-0.013032, 0.670226, -0.009653,-0.015339, 0.655256, 0.027360,-0.010765, 0.468050, -0.045387,0.154186, 0.465290, -0.022057,0.201306, 0.200362, 0.003551,0.190775, -0.004595, 0.085683,-0.010765, 0.468050, -0.045387,-0.175712, 0.470955, -0.068733,-0.229336, 0.206777, -0.052396,-0.225657, -0.010788, 0.012820,-0.015178, -0.013857, 0.012856,0.083229, -0.010836, 0.030405,-0.015178, -0.013857, 0.012856,-0.113585, -0.016878, -0.004693,0.083274, -0.013857, 0.030413,0.096940, -0.373204, -0.019886,0.120312, -0.694824, -0.050448,0.131785, -0.760090, 0.102564,-0.113630, -0.013857, -0.004701,-0.098958, -0.357601, -0.040552,-0.105028, -0.685857, -0.058090,-0.153341, -0.749035, 0.099519
-0.014324, -0.013217, 0.013399,-0.014324, -0.013217, 0.013399,-0.012623, 0.227686, -0.016171,-0.010923, 0.468589, -0.045742,-0.013360, 0.670770, -0.010046,-0.014977, 0.655746, 0.026982,-0.010923, 0.468589, -0.045742,0.153982, 0.465692, -0.022101,0.200172, 0.200649, 0.003999,0.189689, -0.004034, 0.086819,-0.010923, 0.468589, -0.045742,-0.175823, 0.471631, -0.069400,-0.227657, 0.207174, -0.051835,-0.223621, -0.010521, 0.012925,-0.014324, -0.013217, 0.013399,0.084037, -0.009821, 0.031136,-0.014324, -0.013217, 0.013399,-0.112685, -0.016613, -0.004338,0.084094, -0.013217, 0.031146,0.095726, -0.372333, -0.021273,0.119116, -0.694016, -0.051147,0.131443, -0.756410, 0.102993,-0.112742, -0.013217, -0.004348,-0.097544, -0.357000, -0.039602,-0.103944, -0.685119, -0.059431,-0.152429, -0.746440, 0.098858
-0.013896, -0.013008, 0.013493,-0.013896, -0.013008, 0.013493,-0.012430, 0.227881, -0.016197,-0.010964, 0.468771, -0.045888,-0.013489, 0.670952, -0.010199,-0.014689, 0.655881, 0.026825,-0.010964, 0.468771, -0.045888,0.153920, 0.465860, -0.022109,0.199365, 0.200698, 0.004093,0.188967, -0.003925, 0.087071,-0.010964, 0.468771, -0.045888,-0.175844, 0.471828, -0.069684,-0.226725, 0.207215, -0.051690,-0.222263, -0.010486, 0.013019,-0.013896, -0.013008, 0.013493,0.084457, -0.009479, 0.031249,-0.013896, -0.013008, 0.013493,-0.112249, -0.016537, -0.004263,0.084518, -0.013008, 0.031260,0.095037, -0.372036, -0.021989,0.118066, -0.693733, -0.051990,0.131204, -0.753537, 0.103107,-0.112310, -0.013008, -0.004274,-0.096806, -0.356810, -0.039212,-0.103526, -0.684848, -0.060226,-0.151915, -0.744841, 0.098600
-0.013682, -0.012950, 0.013464,-0.013682, -0.012950, 0.013464,-0.012304, 0.227941, -0.016217,-0.010925, 0.468833, -0.045899,-0.013515, 0.671022, -0.010264,-0.014512, 0.655941, 0.026762,-0.010925, 0.468833, -0.045899,0.153967, 0.465951, -0.022167,0.198787, 0.200672, 0.003920,0.188491, -0.003956, 0.086901,-0.010925, 0.468833, -0.045899,-0.175812, 0.471859, -0.069648,-0.226093, 0.207136, -0.051584,-0.221398, -0.010559, 0.013128,-0.013682, -0.012950, 0.013464,0.084677, -0.009379, 0.031177,-0.013682, -0.012950, 0.013464,-0.112041, -0.016521, -0.004249,0.084740, -0.012950, 0.031188,0.094670, -0.371945, -0.022393,0.117327, -0.693637, -0.052738,0.131075, -0.751649, 0.102984,-0.112104, -0.012950, -0.004260,-0.096384, -0.356760, -0.039020,-0.103381, -0.684751, -0.060673,-0.151644, -0.743912, 0.098503
-0.013500, -0.012860, 0.013560,-0.013500, -0.012860, 0.013560,-0.012182, 0.228025, -0.016174,-0.010864, 0.468910, -0.045908,-0.013519, 0.671113, -0.010354,-0.014424, 0.656065, 0.026687,-0.010864, 0.468910, -0.045908,0.154053, 0.466057, -0.022346,0.198375, 0.200684, 0.003640,0.188165, -0.003933, 0.086657,-0.010864, 0.468910, -0.045908,-0.175776, 0.471909, -0.069488,-0.225529, 0.207090, -0.051364,-0.220839, -0.010636, 0.013246,-0.013500, -0.012860, 0.013560,0.084861, -0.009236, 0.031250,-0.013500, -0.012860, 0.013560,-0.111861, -0.016484, -0.004129,0.084926, -0.012860, 0.031261,0.094433, -0.371801, -0.022760,0.116863, -0.693484, -0.053362,0.130996, -0.750458, 0.102709,-0.111926, -0.012860, -0.004141,-0.096059, -0.356676, -0.038779,-0.103226, -0.684627, -0.060974,-0.151499, -0.743346, 0.098362
-0.013316, -0.012752, 0.013778,-0.013316, -0.012752, 0.013778,-0.012066, 0.228115, -0.016105,-0.010816, 0.468982, -0.045988,-0.013507, 0.671193, -0.010481,-0.014351, 0.656194, 0.026582,-0.010816, 0.468982, -0.045988,0.154128, 0.466170, -0.022613,0.198130, 0.200745, 0.003389,0.187946, -0.003927, 0.086274,-0.010816, 0.468982, -0.045988,-0.175755, 0.471940, -0.069381,-0.225117, 0.207052, -0.051193,-0.220519, -0.010703, 0.013324,-0.013316, -0.012752, 0.013778,0.085045, -0.009069, 0.031457,-0.013316, -0.012752, 0.013778,-0.111677, -0.016435, -0.003901,0.085112, -0.012752, 0.031469,0.094255, -0.371619, -0.023106,0.116510, -0.693287, -0.053990,0.130894, -0.749549, 0.102316,-0.111744, -0.012752, -0.003913,-0.095843, -0.356570, -0.038514,-0.103056, -0.684487, -0.061193,-0.151454, -0.743033, 0.098170
-0.013158, -0.012667, 0.014008,-0.013158, -0.012667, 0.014008,-0.011972, 0.228178, -0.016052,-0.010787, 0.469024, -0.046114,-0.013463, 0.671238, -0.010625,-0.014253, 0.656280, 0.026457,-0.010787, 0.469024, -0.046114,0.154177, 0.466289, -0.022868,0.198023, 0.200846, 0.003208,0.187766, -0.004036, 0.085564,-0.010787, 0.469024, -0.046114,-0.175745, 0.471903, -0.069377,-0.224923, 0.206980, -0.051213,-0.220381, -0.010764, 0.013348,-0.013158, -0.012667, 0.014008,0.085209, -0.008952, 0.031646,-0.013158, -0.012667, 0.014008,-0.111525, -0.016382, -0.003630,0.085277, -0.012667, 0.031658,0.094133, -0.371474, -0.023355,0.116196, -0.693119, -0.054612,0.130772, -0.748779, 0.101893,-0.111593, -0.012667, -0.003642,-0.095747, -0.356481, -0.038304,-0.102927, -0.684376, -0.061314,-0.151487, -0.742898, 0.098008
-0.013036, -0.012586, 0.014182,-0.013036, -0.012586, 0.014182,-0.011902, 0.228240, -0.016032,-0.010769, 0.469067, -0.046247,-0.013402, 0.671287, -0.010788,-0.014150, 0.656362, 0.026307,-0.010769, 0.469067, -0.046247,0.154207, 0.466436, -0.023078,0.197965, 0.200979, 0.003006,0.187557, -0.004231, 0.084521,-0.010769, 0.469067, -0.046247,-0.175740, 0.471842, -0.069434,-0.224871, 0.206904, -0.051355,-0.220329, -0.010786, 0.013385,-0.013036, -0.012586, 0.014182,0.085346, -0.008867, 0.031734,-0.013036, -0.012586, 0.014182,-0.111418, -0.016305, -0.003370,0.085414, -0.012586, 0.031746,0.094065, -0.371362, -0.023503,0.115966, -0.692987, -0.055079,0.130686, -0.748241, 0.101555,-0.111486, -0.012586, -0.003382,-0.095693, -0.356392, -0.038150,-0.102819, -0.684274, -0.061359,-0.151551, -0.742841, 0.097894
-0.012944, -0.012499, 0.014306,-0.012944, -0.012499, 0.014306,-0.011853, 0.228311, -0.016039,-0.010763, 0.469121, -0.046385,-0.013353, 0.671349, -0.010970,-0.014080, 0.656456, 0.026138,-0.010763, 0.469121, -0.046385,0.154226, 0.466592, -0.023292,0.197888, 0.201105, 0.002646,0.187311, -0.004432, 0.083312,-0.010763, 0.469121, -0.046385,-0.175747, 0.471795, -0.069497,-0.224885, 0.206855, -0.051474,-0.220288, -0.010759, 0.013520,-0.012944, -0.012499, 0.014306,0.085458, -0.008790, 0.031751,-0.012944, -0.012499, 0.014306,-0.111346, -0.016208, -0.003139,0.085526, -0.012499, 0.031763,0.094039, -0.371261, -0.023596,0.115845, -0.692876, -0.055336,0.130665, -0.747967, 0.101346,-0.111414, -0.012499, -0.003151,-0.095634, -0.356295, -0.038026,-0.102703, -0.684168, -0.061377,-0.151640, -0.742851, 0.097770
